ActiveLSP               
ActiveTS                
Array                   
Array                   󰅪
ArrowCircleDown         
ArrowCircleLeft         
ArrowCircleRight        
ArrowCircleUp           
ArrowLeft               
ArrowRight              
BoldArrowDown           
BoldArrowLeft           
BoldArrowRight          
BoldArrowUp             
BoldClose               
BoldDividerLeft         
BoldDividerRight        
BoldError               
BoldError               
BoldHint                
BoldHint                
BoldInformation         
BoldInformation         
BoldLineLeft            ▎
BoldQuestion            
BoldQuestion            
BoldWarning             
BoldWarning             
BookMark                
Bookmarks               
Boolean                 
Boolean                 
BoxChecked              
Branch                  
BreakStatement          󰙧
BufferClose             󰅖
Bug                     
Calendar                
Call                    󰃷
CaseStatement           󱃙
Check                   
ChevronRight            >
ChevronShortDown        
ChevronShortLeft        
ChevronShortRight       
ChevronShortUp          
Circle                  
CircuitBoard            
Class                   
Class                   
Class                   🅲
Class                   􀀉
Close                   
CloudDownload           
Code                    
Color                   
Color                   
Color                   
Color                   󰏘
Comment                 
Constant                
Constant                
Constant                󰏿
Constructor             
Constructor             
Constructor             
Constructor             
ContinueStatement       →
Copilot                 
Copilot                 
DapBreakpoint           
DapBreakpointCondition  
DapBreakpointRejected   
DapLogPoint             .>
DapStopped              󰁕
Dashboard               
Debug                   
Debug                   
DebugConsole            
Debugger                
Declaration             󰙠
DefaultFile             󰈙
Delete                  󰩺
Diagnostic              󰒡
DiagnosticError         
DiagnosticHint          󰌵
DiagnosticInfo          󰋼
DiagnosticWarn          
Diff                    
DividerLeft             
DividerRight            
Docs                    
DoStatement             󰑖
DoubleChevronRight      »
Ellipsis                …
Ellipsis                
EmptyFolder             
EmptyFolderOpen         
Enum                    
Enum                    
Enum                    🅴
Enum                    􀂝
EnumMember              
EnumMember              
EnumMember              
EnumMember              􀷾
Error                   
Error                   
Event                   
Event                   
Event                   
Event                   􀋦
Field                   
Field                   
Field                   
Field                   􀋡
File                    
File                    
File                    
File                    󰈔
File                    􀉆
FileDeleted             
FileIgnored             ◌
FileModified            
FileNew                 
FileReadOnly            
FileRenamed             
Files                   
FileStaged              S
FileSymlink             
FileUnmerged            
FileUnstaged            
FileUntracked           U
FindFile                
FindText                
Fire                    
FoldClosed              
Folder                  
Folder                  
Folder                  
Folder                  󰉋
Folder                  􀈖
FolderClosed            
FolderEmpty             
FolderOpen              
FolderOpen              
FolderSymlink           
FoldOpened              
FoldSeparator
ForStatement            󰑖
Forward                 
Function                ƒ
Function                
Function                󰊕
Function                􀀎
Gear                    
Git                     󰊢
GitAdd                  
GitBranch               
GitChange               
GitConflict             
GitDelete               
GitIgnored              ◌
GitRenamed              ➜
GitSign                 ▎
GitStaged               ✓
GitUnstaged             ✗
H1Marker                󰉫 
H2Marker                󰉬
H3Marker                󰉭
H4Marker                󰉮
H5Marker                󰉯
H6Marker                󰉰
Hint                    
Hint                    
History                 
Identifier              󰀫
IfStatement             󰇉
Information             
Information             
Interface               
Interface               
Interface               🅸
Interface               􀧫
Key                     
Keyword                 
Keyword                 
Keyword                 󰌋
Keyword                 􀟕
Lightbulb               
LineAdded               
LineLeft                ▏
LineMiddle              │
LineModified            
LineRemoved             
List                    
List                    󰅪
Lock                    
Log                     󰦪
Lsp                     
LSPLoaded               
LSPLoading1             
LSPLoading2             󰀚
LSPLoading3             
Macro                   󰁌
MacroRecording          
MarkdownH1              󰉫 
MarkdownH2              󰉬
MarkdownH3              󰉭
MarkdownH4              󰉮
MarkdownH5              󰉯
MarkdownH6              󰉰
Method                  
Method                  
Method                  󰆧
Method                  􀂬
Module                  
Module                  
Module                  󰏗
Module                  􀐛
Namespace               
Namespace               󰅩
NewFile                 
Note                    
Null                    
Null                    󰢤
Number                  
Number                  󰎠
Object                  
Object                  󰅩
Octoface                
Operator                
Operator                
Operator                󰆕
Operator                􀅺
Package                 
Package                 
Package                 
Package                 
Package                 󰆦
Package                 󰏖
Package                 􀒮
Pair                    󰅪
Paste                   󰅌
Pencil                  
Plus                    
Project                 
Property                
Property                
Property                🄿
Property                􀀢
Question                
Question                
Reference               
Reference               
Reference               󰦾
Reference               􀉣
Refresh                 
Regex                   
Repeat                  󰑖
Repo                    
Scope                   󰅩
Scopes                  
Search                  
Search                  
Selected                ❯
Session                 󱂬
SignIn                  
SignOut                 
Smiley                  
Snippet                 
Snippet                 
Snippet                 󰩫
Snippet                 􀉈
Sort                    󰒺
Specifier               󰦪
Spellcheck              󰓆
Squirrel                
Stacks                  
Statement               󰅩
String                  
String                  󰉾
Struct                  
Struct                  
Struct                  🆂
Struct                  􀂹
SwitchStatement         󰺟
Tab                     
Tab                     󰓩
TabClose                󰅙
Table                   
Tag                     
Target                  
Telescope               
Terminal                
Terminal                
Test                    󰙨
Text                    
Text                    
Text                    
Text                    
Text                    
Trace                   ✎
Trace                   ✎
Tree                    
Triangle                契
TriangleShortArrowDown  
TriangleShortArrowLeft  
TriangleShortArrowRight 
TriangleShortArrowUp    
Type                    
TypeParameter           
TypeParameter           
TypeParameter           󰆩
TypeParameter           􀂺
Unit                    
Unit                    
Unit                    
Unit                    
Value                   
Value                   
Value                   
Value                   󰎠
Variable                
Variable                
Variable                
Variable                󰀫
Warning                 
Warning                 
Watch                   
Watches                 
WhileStatement          󰑖
Window                  
WordFile                󰈭
